"scenario","simple_difference","rebar_x1","rebar_y0hat","reloop_rf_po","reloop_rf_v12","reloop_rf_interp","true_tau","mean_DeltaY0","mean_DeltaY0_hat","mean_abs_DeltaX1","mean_abs_DeltaX2","mean_abs_DeltaX3","mean_abs_DeltaY0_hat","cor_DeltaY0hat_DeltaY0","cor_DeltaX1_DeltaY0","cor_DeltaX2_DeltaY0","cor_DeltaX3_DeltaY0","prop_unit1_treated","n_treated_full","n_control_full","treatment_rate_full","n_matched","n_pairs","n_remnant","n_remnant_controls","sim"
"aligned",0.617688118451565,0.0845531765275292,0.414537029074748,0.297645108130295,0.412898902827981,0.391474003367726,0,0.617688118451565,0.203151089376818,1.0614045316353,1.1241662578896,0.113031252404658,0.536172432661137,0.289582222142185,0.384757556101395,0.0762158802455834,-0.0264999415534414,0.508196721311475,183,817,0.183,366,183,634,634,20
"unrelated",0.18031139721171,-0.280622605187809,0.101926862437358,0.0916581721205322,0.0773097456779316,0.0811755157344242,0,0.18031139721171,0.0783845347743527,1.16603205639129,1.21540355742731,0.0743808701809386,0.504837002609441,0.420997358307804,0.0611304444889352,0.556733845474003,0.12359991387554,0.48,175,825,0.175,350,175,650,650,20
"opposite",-0.0662420320034394,-0.495583478252436,0.161567398755912,0.151933231095371,0.0602152941444633,0.0930409081847366,0,-0.0662420320034394,-0.227809430759351,1.0083447795174,1.18879077551221,0.0562324200898481,0.58903036875635,0.289937616813086,-0.382490626057351,0.0284750705007797,0.0660914927626706,0.518518518518518,162,838,0.162,324,162,676,676,20
"aligned",0.428062247783984,0.0182315294733924,0.209183831690055,0.125631110326383,0.268546830410149,0.217256087487723,0,0.428062247783984,0.218878416093929,1.16341954114677,1.13346076920502,0.100209476131352,0.579350515727358,0.32520857899522,0.441559154010587,0.0437802371946729,0.0728641118651901,0.489130434782609,184,816,0.184,368,184,632,632,21
"unrelated",0.236422858955445,-0.352531421440403,0.195565057736966,0.0759523529211275,0.171684721939366,0.143104675182186,0,0.236422858955445,0.0408578012184787,1.11749575283066,1.06601177311497,0.0642004239826076,0.485553969217521,0.2704754395711,0.0969515279047344,0.286810159807085,0.128572903735504,0.511494252873563,174,826,0.174,348,174,652,652,21
"opposite",-0.207498963731013,-0.779687498369423,0.00958382794668467,0.079903881896579,0.0192975938915162,0.0390491511276686,0,-0.207498963731013,-0.217082791677698,1.32000313755743,1.07904395983923,0.090785143556151,0.569835484319863,0.326604916006267,-0.451737617488328,0.0622368723146283,0.0903372320440384,0.447513812154696,181,819,0.181,362,181,638,638,21
"aligned",0.0959017297231762,-0.39917698803392,-0.146503160561251,-0.161388663507322,-0.10972456631569,-0.131946667419499,0,0.0959017297231762,0.242404890284427,1.14857033432577,1.13293161603216,0.0641590605655525,0.6143643258601,0.410192133195849,0.383388868043253,-0.0283526790550705,0.0799691222097302,0.517241379310345,174,826,0.174,348,174,652,652,22
"unrelated",0.184656730631242,-0.281910439300913,0.199263841009064,0.175341718639356,0.254413860834773,0.241139731723547,0,0.184656730631242,-0.0146071103778212,1.12933455934765,1.18523997891143,0.0942258819607083,0.650706624624981,0.290624982555305,-0.173244570676845,0.345005283703389,0.125692796155362,0.46195652173913,184,816,0.184,368,184,632,632,22
"opposite",-0.0369393093627749,-0.565540498216165,0.142396383259893,0.206895911346427,0.164849947179602,0.177543947955537,0,-0.0369393093627749,-0.179335692622667,1.12948238501973,1.15740794951837,0.130123427906193,0.506142813814043,0.387584779294901,-0.465177116815675,0.0114339181219395,0.17281967636333,0.538071065989848,197,803,0.197,394,197,606,606,22
"aligned",0.208829744896734,-0.212600771156407,0.0895022686861167,-0.0345584969212967,0.021134454357192,-0.00658376144062061,0,0.208829744896734,0.119327476210617,1.19057410054558,1.07813285447414,0.0614135423564948,0.519608593941178,0.405350479106943,0.490614958203141,-0.081594187347366,0.00687113204802131,0.536144578313253,166,834,0.166,332,166,668,668,23
